States/UTs,Area,Children age 5 years who attended pre-primary school ,Women (age 15-49) (%),Men (age 15-49) (%),Women (age 15-49)  with 10 or more years of schooling (%),Men (age 15-49)  with 10 or more years of schooling (%)
Haryana,Rural,7.4,78.8,93,44.1,60.8
Haryana,Total,7.6,81.7,93.5,49.5,62.2
Himachal Pradesh,Urban,12.3,95,91.7,79.8,78.7
Himachal Pradesh,Rural,3.4,91.2,95.4,63.8,70.1
Himachal Pradesh,Total,4.6,91.7,94.9,65.9,71.3
Jammu and Kashmir,Urban,4,84.3,91.8,65.1,73.8
Jammu and Kashmir,Rural,0.9,74.7,91.4,46.2,66
Jammu and Kashmir,Total,1.6,77.3,91.5,51.3,68.2
Jharkhand,Urban,15.2,82.4,94.1,54.4,66.2
Jharkhand,Rural,7.6,59.3,80.3,26.3,39.4
Jharkhand,Total,9,65,84,33.2,46.6
Karnataka,Urban,18.9,85.1,90.5,62.3,64.8
Karnataka,Rural,16.3,71,87,42,50.6
Karnataka,Total,17.3,76.7,88.5,50.2,56.5
Kerala,Urban,33.1,99.1,99.2,78.8,76.8
Kerala,Rural,25.6,97.5,97.4,75.3,70.2
Kerala,Total,29,98.3,98.2,77,73.3
Ladakh,Urban,0,77.7,91.9,53.8,64.1
Ladakh,Rural,0,76.6,94.2,49.2,74.8
Ladakh,Total,0.7,76.8,93.7,50,72.7
Lakshadweep,Urban,37.4,96.4,100,68.2,84.9
Lakshadweep,Rural,0,96.8,-96.3,66.3,-69.4
Lakshadweep,Total,32,96.5,99.1,67.8,80.9
Madhya Pradesh,Urban,15.2,83.3,92.3,49.1,53.1
Madhya Pradesh,Rural,9,63.3,82.6,21.7,35
Madhya Pradesh,Total,10.5,68.9,85.3,29.3,39.9
Maharashtra,Urban,29.9,90.2,94.6,61.1,68.3
Maharashtra,Rural,27.3,79.5,91.5,40.7,54.3
Maharashtra,Total,28.4,84.6,93,50.4,61
Manipur,Urban,31.3,92.1,96.9,60,66.9
Manipur,Rural,21.8,84.8,94,40.6,52.7
Manipur,Total,25,87.6,95.2,48.1,58.7
Meghalaya,Urban,36.3,97.1,92.9,61.4,63.9
Meghalaya,Rural,30.3,85.5,81.5,27.3,27.7
Meghalaya,Total,31.2,88.2,83.7,35.1,34.7
Mizoram,Urban,6.9,99.1,99.2,62.3,59.1
Mizoram,Rural,3.2,87.7,94.2,32.7,35.9
Mizoram,Total,5,94.4,97.1,50,49.1
Nagaland,Urban,5.5,91.5,97.7,63.7,75.6
Nagaland,Rural,6.3,82.7,90.7,34.1,39.8
Nagaland,Total,6.1,85.8,93.3,44.4,53.1
NCT of Delhi,Urban,16,84.9,92.2,59.5,60.7
NCT of Delhi,Rural,-9.4,89,-93.5,68.7,-70.1
NCT of Delhi,Total,15.8,85,92.3,59.7,60.9
Odisha,Urban,8.5,83.9,90.7,47.9,46
Odisha,Rural,11.2,69.2,86.1,29.6,36.6
Odisha,Total,10.8,71.9,87.1,33,38.6
Puducherry,Urban,24.5,92.1,93.4,68.9,78
Puducherry,Rural,-21.4,89.1,97.5,57.8,64.5
Puducherry,Total,23.6,91.1,94.6,65.4,74.2
Punjab,Urban,5.3,83.7,91.3,62.4,62.9
Punjab,Rural,9.2,80,88.9,52.2,55.7
Punjab,Total,7.8,81.4,89.9,56,58.7
Rajasthan,Urban,12.3,81.3,92.5,51.2,62.2
Rajasthan,Rural,8,61.6,90.1,27.8,48.4
Rajasthan,Total,8.9,66.4,90.7,33.4,51.9
Sikkim,Urban,0,92.8,96.9,60.2,70.7
Sikkim,Rural,41.6,86.2,90.3,41.2,44.2
Sikkim,Total,41.2,88.9,93,49,55
Tamil Nadu,Urban,31.4,90.6,94.2,63.7,64.4
Tamil Nadu,Rural,19.9,81.5,92.6,49.9,54.3
Tamil Nadu,Total,25.2,85.9,93.4,56.6,59.1
Telangana,Urban,16.7,81,90.2,60.9,71
Telangana,Rural,14.3,58.1,81.3,36.3,54.6
Telangana,Total,15.3,66.6,84.8,45.5,61.2
Tripura,Urban,29.8,89.9,93.5,36.6,39.7
Tripura,Rural,22.1,76.9,86,17.9,25.1
Tripura,Total,24.2,80.6,88.2,23.2,29.4
Uttar Pradesh,Urban,11.9,78.6,88,51.9,56.8
Uttar Pradesh,Rural,8.6,65.6,86.3,35,45.6
Uttar Pradesh,Total,9.3,68.8,86.7,39.3,48.6
Uttarakhand,Urban,35.8,85.3,92.4,59.4,62.2
Uttarakhand,Rural,32.2,79.8,93.2,46,58.7
Uttarakhand,Total,33.2,81.6,92.9,50.4,59.8
West Bengal,Urban,20.8,83.4,89.8,47.6,51.4
West Bengal,Rural,19.9,72.5,77.8,25.9,26.9
West Bengal,Total,20.1,76.1,81.6,32.9,34.7
